organisatie_id,werksoort_id,vestiging_id,uitvoeringsvorm,betrouwbaarheid,bron_url
org020,openbare-ruimte-en-straatreiniging,,,laag,https://emco-groep.nl/groen
org020,schoonmaak,,,hoog,https://emco-groep.nl/werksoorten
org020,receptie-en-gastvrijheid,,,midden,https://emco-groep.nl/facilitairedienstverlening
org020,postkamer-en-documentstromen,,,midden,https://emco-groep.nl/facilitairedienstverlening
org020,facilitaire-dienstverlening,,,hoog,https://emco-groep.nl/werksoorten
org020,beveiliging-en-toezicht,,,hoog,https://emco-groep.nl/werksoorten
org021,assemblage,,,hoog,https://www.empatec.nl/diensten/verpakken/
org021,montage,,,hoog,https://www.empatec.nl/diensten/dienstverlening/
org021,verpakken,,,hoog,https://www.empatec.nl/
org021,co-packing,,,hoog,https://www.empatec.nl/diensten/verpakken/
org021,fulfilment,,,hoog,https://www.empatec.nl/diensten/verpakken/
org021,magazijn-en-opslag,,,hoog,https://www.empatec.nl/diensten/verpakken/
org021,productie-en-lijnwerk,,,hoog,https://www.empatec.nl/diensten/montage/
org021,metaalbewerking,,,hoog,https://www.empatec.nl/
org021,plaatwerk,,,hoog,https://www.empatec.nl/diensten/metaalbewerking/
org021,lassen,,,hoog,https://www.empatec.nl/diensten/metaalbewerking/cnc-metaalbewerking/
org021,poedercoaten-en-spuiten,,,midden,https://www.empatec.nl/diensten/houtbewerking/
org021,houtbewerking,,,hoog,https://www.empatec.nl/diensten/montage/
org021,groenvoorziening-en-onderhoud,,,hoog,https://www.empatec.nl/
org021,openbare-ruimte-en-straatreiniging,,,hoog,https://www.empatec.nl/diensten/dienstverlening/
org021,schoonmaak,,,hoog,https://www.empatec.nl/
org021,klein-onderhoud-en-klusdiensten,,,hoog,https://www.empatec.nl/
org022,assemblage,,,hoog,https://ergon.nl/voor-bedrijven/diensten/ergon-productie/
org022,montage,,,hoog,https://ergon.nl/voor-bedrijven/diensten/ergon-productie/
org022,verpakken,,,hoog,https://ergon.nl/voor-bedrijven/diensten/ergon-productie/
org022,co-packing,,,hoog,https://ergon.nl/voor-bedrijven/diensten/ergon-productie/
org022,fulfilment,,,hoog,https://ergon.nl/voor-bedrijven/diensten/
org022,magazijn-en-opslag,,,hoog,https://ergon.nl/voor-bedrijven/diensten/
org022,post-en-pakketbezorging,,,hoog,https://ergon.nl/voor-bedrijven/diensten/ergon-post/
org022,productie-en-lijnwerk,,,laag,https://ergon.nl/voor-bedrijven/diensten/ergon-productie/
org022,groenvoorziening-en-onderhoud,,,hoog,https://ergon.nl/voor-bedrijven/diensten/ergon-groen/
org022,kwekerij-en-tuinbouw,,,hoog,https://ergon.nl/voor-bedrijven/diensten/
org022,openbare-ruimte-en-straatreiniging,,,laag,https://ergon.nl/voor-bedrijven/diensten/ergon-groen/
org022,schoonmaak,,,hoog,https://ergon.nl/voor-bedrijven/diensten/ergon-facilitair/
org022,receptie-en-gastvrijheid,,,hoog,https://ergon.nl/voor-bedrijven/diensten/
org022,facilitaire-dienstverlening,,,hoog,https://ergon.nl/voor-bedrijven/diensten/ergon-facilitair/
org022,catering,,,hoog,https://ergon.nl/voor-bedrijven/diensten/ergon-facilitair/
org022,bedrijfsrestaurant-en-horeca,,,hoog,https://ergon.nl/voor-bedrijven/diensten/ergon-facilitair/
org022,wasserij-en-linnenservice,,,hoog,https://ergon.nl/voor-bedrijven/diensten/
org024,montage,,eigen_bedrijf,laag,https://www.fijnder.nl/ondernemers/dienstverlening-werkgeversservicepunt-achterhoek
org024,verpakken,,eigen_bedrijf,midden,https://www.fijnder.nl/ondernemers/dienstverlening-werkgeversservicepunt-achterhoek
org024,schoonmaak,,,hoog,https://www.fijnder.nl/fijnder-zet-nieuwe-standaard-voor-duurzame-aanbesteding-schoonmaakbranche
org033,assemblage,,,hoog,https://www.hwwerkt.nl/ik-ben-werkgever/
org033,montage,,,hoog,https://www.hwwerkt.nl/ik-ben-werkgever/
org033,verpakken,,,hoog,https://www.hwwerkt.nl/ik-ben-werkgever/
org033,magazijn-en-opslag,,,laag,https://www.hwwerkt.nl/ondernemer/ik-wil-werk-uitbesteden/
org033,productie-en-lijnwerk,,,laag,https://www.hwwerkt.nl/ik-ben-werkgever/
org034,assemblage,,,hoog,https://www.ibn.nl/
org034,verpakken,,,hoog,https://www.ibn.nl/
org034,co-packing,,,hoog,https://www.ibn.nl/
org034,groenvoorziening-en-onderhoud,,,hoog,https://www.ibn.nl/
org034,kwekerij-en-tuinbouw,,,hoog,https://www.ibn.nl/
org034,openbare-ruimte-en-straatreiniging,,,laag,https://www.ibn.nl/bedrijfsleven/zaken-doen-met-ibn/groenonderhoud
org034,schoonmaak,,,hoog,https://www.ibn.nl/
org034,receptie-en-gastvrijheid,,,hoog,https://www.ibn.nl/bedrijfsleven/zaken-doen-met-ibn/social-return/social-return-sociale-inkopen/facilitaire-dienstverlening
org034,facilitaire-dienstverlening,,,hoog,https://www.ibn.nl/
org034,catering,,op_locatie,hoog,https://www.ibn.nl/
org034,bedrijfsrestaurant-en-horeca,,,hoog,https://www.ibn.nl/bedrijfsleven/zaken-doen-met-ibn/catering
org035,assemblage,,,hoog,https://www.iederz.nl/
org035,montage,,,hoog,https://www.iederz.nl/
org035,verpakken,,,hoog,https://www.iederz.nl/
org035,post-en-pakketbezorging,,,laag,https://www.iederz.nl/gedetacheerd-werk-bij-andere-werkgevers/
org035,groenvoorziening-en-onderhoud,,,laag,https://www.iederz.nl/gedetacheerd-werk-bij-andere-werkgevers/
org035,schoonmaak,,,hoog,https://www.iederz.nl/montage-en-assemblage/
org035,catering,,,laag,https://www.iederz.nl/gedetacheerd-werk-bij-andere-werkgevers/
org035,bedrijfsrestaurant-en-horeca,,,hoog,https://www.iederz.nl/montage-en-assemblage/
org036,assemblage,,,laag,https://www.ijmondwerkt.com/werk-uitbesteden/
org036,montage,,,hoog,https://www.ijmondwerkt.com/werk-uitbesteden/
org036,verpakken,,,hoog,https://www.ijmondwerkt.com/werk-uitbesteden/
org036,co-packing,,,laag,https://www.ijmondwerkt.com/contact-locaties-en-informatie/
org036,groenvoorziening-en-onderhoud,,,hoog,https://www.ijmondwerkt.com/2022/03/07/mooiemaandagstory-hoe-zag-2021-er-voor-onze-heemskerkse-groenploeg-uit-bekijk-deze-prachtige-compilatie/
org036,openbare-ruimte-en-straatreiniging,,,handmatig,https://www.ijmondwerkt.com/contact-locaties-en-informatie/
org037,assemblage,,,hoog,https://impact.nl/
org037,montage,,,hoog,https://impact.nl/
org037,verpakken,,,hoog,https://impact.nl/
org037,productie-en-lijnwerk,,,hoog,https://impact.nl/
org037,groenvoorziening-en-onderhoud,,,hoog,https://impact.nl/
org037,catering,,,hoog,https://www.impact.nl/sitemap
org038,assemblage,,,hoog,https://www.inclusiefgroep.nl/
org038,montage,,,hoog,https://www.inclusiefgroep.nl/
org038,elektrotechnische-assemblage,,,hoog,https://www.inclusiefgroep.nl/
org038,verpakken,,,hoog,https://www.inclusiefgroep.nl/ik-wil-werk-uitbesteden/productie/
org038,magazijn-en-opslag,,,hoog,https://www.inclusiefgroep.nl/ik-wil-werk-uitbesteden/elektromontage/
org038,post-en-pakketbezorging,,,hoog,https://www.inclusiefgroep.nl/
org038,schoonmaak,,,hoog,https://www.inclusiefgroep.nl/
org038,glazenwassen,,,laag,https://www.inclusiefgroep.nl/ik-wil-werk-uitbesteden/schoonmaak/
org038,catering,,,hoog,https://www.inclusiefgroep.nl/
org038,bedrijfsrestaurant-en-horeca,,,midden,https://www.inclusiefgroep.nl/ik-wil-werk-uitbesteden/catering/
org039,montage,,,midden,https://www.intos-gennep.nl/ik-ben-werkgever/
org039,verpakken,,,hoog,https://www.intos-gennep.nl/ik-ben-werkgever/
org039,productie-en-lijnwerk,,,laag,https://www.intos-gennep.nl/ik-ben-werkgever/
org040,assemblage,,,hoog,https://iw4.nl/facilitair-en-productie/verpakken-licht-montagewerk/
org040,montage,,,hoog,https://iw4.nl/
org040,verpakken,,,hoog,https://iw4.nl/
org040,co-packing,,,hoog,https://iw4.nl/facilitair-en-productie/verpakken-licht-montagewerk/
org040,schoonmaak,,,hoog,https://iw4.nl/
org040,glazenwassen,,,hoog,https://iw4.nl/facilitair-en-productie/verpakken-licht-montagewerk/
org040,catering,,,hoog,https://iw4.nl/
